0.3950,0.3839,0.3609,0.3303,0.3123,0.2768,0.2463,0.2252,0.2017,0.1857,0.1622,0.1464,0.1295,0.1101,0.1022,0.0929,0.0854,0.0711,0.0472,0.0322,0.0259,0.0239,0.0200,0.0193,0.0178,0.0178,0.0169,0.0160,0.0150,0.0128,0.0118,0.0105,0.0086,0.0074,0.0061,0.0048,0.0034,0.0024,0.0014,0.0014,0.0014,0.0013,0.0013,0.0012,0.0008,0.0002,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
0.3278,0.3039,0.2943,0.2650,0.2487,0.2115,0.1640,0.1345,0.1176,0.1021,0.0935,0.0851,0.0762,0.0675,0.0608,0.0540,0.0470,0.0417,0.0353,0.0289,0.0259,0.0261,0.0245,0.0235,0.0222,0.0213,0.0210,0.0201,0.0191,0.0173,0.0146,0.0116,0.0080,0.0059,0.0051,0.0036,0.0020,0.0011,0.0009,0.0007,0.0004,0.0002,0.0001,0.0003,0.0004,0.0004,0.0003,0.0004,0.0004,0.0006,0.0010,0.0012,0.0013,0.0011,0.0009,0.0010,0.0010,0.0009,0.0011,0.0011,0.0016,0.0024,0.0024,0.0013,0.0005,0.0009,0.0009,0.0012,0.0019,0.0030,0.0044,0.0061,0.0069,0.0075,0.0069,0.0071,0.0085,0.0097,0.0101,0.0100,0.0078,0.0034,0.0017,0.0015,0.0014,0.0018,0.0027,0.0026,0.0027,0.0016
0.1436,0.1371,0.1278,0.1147,0.1078,0.1053,0.0939,0.0832,0.0762,0.0713,0.0694,0.0692,0.0671,0.0667,0.0669,0.0662,0.0652,0.0655,0.0653,0.0643,0.0610,0.0615,0.0612,0.0601,0.0576,0.0569,0.0554,0.0565,0.0493,0.0441,0.0425,0.0411,0.0385,0.0390,0.0379,0.0359,0.0349,0.0351,0.0350,0.0343,0.0347,0.0347,0.0343,0.0337,0.0340,0.0339,0.0349,0.0353,0.0354,0.0328,0.0317,0.0292,0.0284,0.0256,0.0223,0.0216,0.0201,0.0187,0.0183,0.0187,0.0191,0.0205,0.0207,0.0162,0.0124,0.0109,0.0094,0.0093,0.0097,0.0112,0.0130,0.0133,0.0129,0.0119,0.0110,0.0102,0.0118,0.0126,0.0120,0.0124,0.0093,0.0045,0.0015,0.0008,0.0003,0.0003,0.0000,0.0001,0.0000,0.0001
0.1178,0.1097,0.1022,0.1010,0.0995,0.1013,0.1003,0.0934,0.0859,0.0803,0.0819,0.0809,0.0815,0.0826,0.0832,0.0829,0.0831,0.0874,0.0908,0.0922,0.0897,0.0856,0.0835,0.0831,0.0824,0.0832,0.0825,0.0826,0.0782,0.0790,0.0769,0.0762,0.0698,0.0687,0.0628,0.0595,0.0585,0.0568,0.0552,0.0550,0.0529,0.0502,0.0506,0.0498,0.0490,0.0483,0.0438,0.0403,0.0345,0.0318,0.0309,0.0297,0.0293,0.0274,0.0242,0.0240,0.0232,0.0229,0.0227,0.0210,0.0199,0.0211,0.0212,0.0162,0.0138,0.0127,0.0114,0.0105,0.0100,0.0103,0.0111,0.0122,0.0124,0.0129,0.0118,0.0105,0.0105,0.0111,0.0129,0.0138,0.0138,0.0106,0.0073,0.0067,0.0066,0.0067,0.0067,0.0072,0.0085,0.0077
0.0874,0.0795,0.0757,0.0757,0.0745,0.0765,0.0772,0.0754,0.0716,0.0683,0.0643,0.0596,0.0581,0.0574,0.0559,0.0557,0.0527,0.0522,0.0522,0.0517,0.0482,0.0435,0.0417,0.0405,0.0400,0.0380,0.0364,0.0325,0.0334,0.0340,0.0344,0.0333,0.0286,0.0232,0.0211,0.0206,0.0218,0.0223,0.0227,0.0232,0.0209,0.0199,0.0203,0.0209,0.0212,0.0221,0.0186,0.0168,0.0150,0.0148,0.0161,0.0169,0.0179,0.0190,0.0159,0.0147,0.0152,0.0157,0.0156,0.0153,0.0138,0.0148,0.0145,0.0129,0.0119,0.0114,0.0109,0.0109,0.0106,0.0104,0.0101,0.0102,0.0106,0.0105,0.0101,0.0093,0.0081,0.0073,0.0084,0.0097,0.0105,0.0087,0.0047,0.0042,0.0036,0.0032,0.0031,0.0036,0.0050,0.0049
0.0878,0.0847,0.0864,0.0880,0.0890,0.0877,0.0870,0.0853,0.0814,0.0776,0.0724,0.0671,0.0631,0.0602,0.0578,0.0557,0.0522,0.0529,0.0518,0.0501,0.0462,0.0423,0.0356,0.0298,0.0288,0.0261,0.0212,0.0160,0.0176,0.0196,0.0210,0.0231,0.0212,0.0136,0.0117,0.0114,0.0108,0.0093,0.0089,0.0084,0.0079,0.0075,0.0069,0.0068,0.0065,0.0067,0.0061,0.0050,0.0056,0.0057,0.0059,0.0066,0.0067,0.0081,0.0083,0.0067,0.0065,0.0063,0.0059,0.0055,0.0050,0.0050,0.0045,0.0047,0.0046,0.0040,0.0035,0.0034,0.0034,0.0038,0.0035,0.0029,0.0027,0.0031,0.0034,0.0028,0.0022,0.0019,0.0019,0.0021,0.0029,0.0033,0.0027,0.0031,0.0029,0.0017,0.0011,0.0012,0.0012,0.0017
0.1820,0.1720,0.1601,0.1535,0.1520,0.1476,0.1392,0.1303,0.1226,0.1164,0.1100,0.1040,0.1016,0.0966,0.0913,0.0857,0.0764,0.0727,0.0681,0.0614,0.0571,0.0532,0.0475,0.0380,0.0257,0.0195,0.0152,0.0129,0.0150,0.0155,0.0140,0.0129,0.0126,0.0103,0.0094,0.0097,0.0083,0.0063,0.0058,0.0057,0.0054,0.0055,0.0050,0.0048,0.0043,0.0041,0.0041,0.0035,0.0037,0.0038,0.0042,0.0040,0.0038,0.0038,0.0038,0.0036,0.0037,0.0036,0.0037,0.0035,0.0032,0.0031,0.0030,0.0031,0.0030,0.0024,0.0021,0.0017,0.0017,0.0018,0.0019,0.0014,0.0013,0.0012,0.0014,0.0008,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1406,0.1359,0.1318,0.1252,0.1211,0.1151,0.1019,0.0984,0.0990,0.0926,0.0891,0.0873,0.0836,0.0798,0.0766,0.0691,0.0624,0.0570,0.0530,0.0502,0.0468,0.0436,0.0430,0.0366,0.0263,0.0242,0.0227,0.0209,0.0238,0.0235,0.0211,0.0202,0.0190,0.0165,0.0156,0.0132,0.0115,0.0098,0.0095,0.0089,0.0087,0.0087,0.0088,0.0098,0.0100,0.0104,0.0098,0.0091,0.0093,0.0091,0.0087,0.0090,0.0091,0.0089,0.0080,0.0081,0.0075,0.0069,0.0074,0.0078,0.0072,0.0061,0.0071,0.0065,0.0067,0.0064,0.0056,0.0045,0.0049,0.0057,0.0052,0.0047,0.0045,0.0053,0.0060,0.0053,0.0047,0.0048,0.0072,0.0077,0.0062,0.0050,0.0055,0.0056,0.0055,0.0050,0.0064,0.0076,0.0081,0.0063
0.0835,0.0846,0.0826,0.0821,0.0801,0.0801,0.0736,0.0691,0.0677,0.0677,0.0666,0.0671,0.0650,0.0609,0.0580,0.0527,0.0516,0.0521,0.0524,0.0528,0.0515,0.0502,0.0512,0.0474,0.0378,0.0362,0.0352,0.0329,0.0341,0.0328,0.0329,0.0343,0.0337,0.0354,0.0353,0.0343,0.0325,0.0249,0.0214,0.0205,0.0188,0.0165,0.0158,0.0147,0.0126,0.0133,0.0124,0.0121,0.0118,0.0142,0.0129,0.0130,0.0121,0.0122,0.0121,0.0122,0.0106,0.0089,0.0089,0.0081,0.0081,0.0062,0.0060,0.0064,0.0066,0.0062,0.0061,0.0049,0.0045,0.0049,0.0050,0.0045,0.0030,0.0036,0.0040,0.0044,0.0044,0.0036,0.0035,0.0038,0.0037,0.0037,0.0041,0.0045,0.0047,0.0047,0.0054,0.0055,0.0066,0.0064
0.0559,0.0577,0.0581,0.0580,0.0557,0.0579,0.0563,0.0522,0.0520,0.0509,0.0511,0.0501,0.0495,0.0479,0.0447,0.0416,0.0375,0.0368,0.0376,0.0368,0.0339,0.0310,0.0305,0.0285,0.0239,0.0224,0.0232,0.0207,0.0209,0.0185,0.0186,0.0186,0.0187,0.0168,0.0149,0.0146,0.0127,0.0089,0.0068,0.0055,0.0044,0.0045,0.0040,0.0032,0.0023,0.0022,0.0017,0.0016,0.0017,0.0011,0.0011,0.0010,0.0009,0.0008,0.0007,0.0012,0.0009,0.0009,0.0007,0.0005,0.0004,0.0003,0.0004,0.0005,0.0005,0.0004,0.0003,0.0002,0.0001,0.0002,0.0003,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
